PU Histórico - Gerado em 26/05/2019 21:13:04

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
24/05/2019	CMTR17	5.229,256202	1,802420	-	5.231,058622	Padrão - SND	Reg.	
23/05/2019	CMTR17	5.229,256202	-  	-	5.229,256202	Padrão - SND	Reg.	
22/05/2019	CMTR17	5.397,941886	37,333354	-	5.435,275240	Padrão - SND	Reg.	
21/05/2019	CMTR17	5.397,941886	35,460592	-	5.433,402478	Padrão - SND	Reg.	
20/05/2019	CMTR17	5.397,941886	33,588423	-	5.431,530310	Padrão - SND	Reg.	
17/05/2019	CMTR17	5.397,941886	31,716957	-	5.429,658843	Padrão - SND	Reg.	
16/05/2019	CMTR17	5.397,941886	29,846084	-	5.427,787970	Padrão - SND	Reg.	
15/05/2019	CMTR17	5.397,941886	27,975859	-	5.425,917746	Padrão - SND	Reg.	
14/05/2019	CMTR17	5.397,941886	26,106336	-	5.424,048222	Padrão - SND	Reg.	
13/05/2019	CMTR17	5.397,941886	24,237407	-	5.422,179293	Padrão - SND	Reg.	
10/05/2019	CMTR17	5.397,941886	22,369125	-	5.420,311011	Padrão - SND	Reg.	
09/05/2019	CMTR17	5.397,941886	20,501491	-	5.418,443377	Padrão - SND	Reg.	
08/05/2019	CMTR17	5.397,941886	18,634505	-	5.416,576391	Padrão - SND	Reg.	
07/05/2019	CMTR17	5.397,941886	16,768167	-	5.414,710053	Padrão - SND	Reg.	
06/05/2019	CMTR17	5.397,941886	14,902476	-	5.412,844362	Padrão - SND	Reg.	
03/05/2019	CMTR17	5.397,941886	13,037433	-	5.410,979319	Padrão - SND	Reg.	
02/05/2019	CMTR17	5.397,941886	11,172984	-	5.409,114870	Padrão - SND	Reg.	
30/04/2019	CMTR17	5.397,941886	9,309237	-	5.407,251123	Padrão - SND	Reg.	
29/04/2019	CMTR17	5.397,941886	7,446083	-	5.405,387969	Padrão - SND	Reg.	
26/04/2019	CMTR17	5.397,941886	5,583631	-	5.403,525517	Padrão - SND	Reg.	
25/04/2019	CMTR17	5.397,941886	3,721773	-	5.401,663659	Padrão - SND	Reg.	
24/04/2019	CMTR17	5.397,941886	1,860563	-	5.399,802449	Padrão - SND	Reg.	
23/04/2019	CMTR17	5.397,941886	-  	-	5.397,941886	Padrão - SND	Reg.	
22/04/2019	CMTR17	5.566,627396	36,568734	-	5.603,196130	Padrão - SND	Reg.	
18/04/2019	CMTR17	5.566,627396	34,638061	-	5.601,265457	Padrão - SND	Reg.	
17/04/2019	CMTR17	5.566,627396	32,708111	-	5.599,335507	Padrão - SND	Reg.	
16/04/2019	CMTR17	5.566,627396	30,778774	-	5.597,406170	Padrão - SND	Reg.	
15/04/2019	CMTR17	5.566,627396	28,850104	-	5.595,477500	Padrão - SND	Reg.	
12/04/2019	CMTR17	5.566,627396	26,922158	-	5.593,549555	Padrão - SND	Reg.	
11/04/2019	CMTR17	5.566,627396	24,994825	-	5.591,622221	Padrão - SND	Reg.	
10/04/2019	CMTR17	5.566,627396	23,068160	-	5.589,695556	Padrão - SND	Reg.	
09/04/2019	CMTR17	5.566,627396	21,142162	-	5.587,769558	Padrão - SND	Reg.	
08/04/2019	CMTR17	5.566,627396	19,216833	-	5.585,844229	Padrão - SND	Reg.	
05/04/2019	CMTR17	5.566,627396	17,292171	-	5.583,919567	Padrão - SND	Reg.	
04/04/2019	CMTR17	5.566,627396	15,368178	-	5.581,995574	Padrão - SND	Reg.	
03/04/2019	CMTR17	5.566,627396	13,444852	-	5.580,072249	Padrão - SND	Reg.	
02/04/2019	CMTR17	5.566,627396	11,522139	-	5.578,149535	Padrão - SND	Reg.	
01/04/2019	CMTR17	5.566,627396	9,600150	-	5.576,227546	Padrão - SND	Reg.	
29/03/2019	CMTR17	5.566,627396	7,678773	-	5.574,306169	Padrão - SND	Reg.	
28/03/2019	CMTR17	5.566,627396	5,758119	-	5.572,385515	Padrão - SND	Reg.	
27/03/2019	CMTR17	5.566,627396	3,838078	-	5.570,465474	Padrão - SND	Reg.	
26/03/2019	CMTR17	5.566,627396	1,918705	-	5.568,546101	Padrão - SND	Reg.	
25/03/2019	CMTR17	5.566,627396	-  	-	5.566,627396	Padrão - SND	Reg.	
22/03/2019	CMTR17	5.735,314465	33,699274	-	5.769,013739	Padrão - SND	Reg.	
21/03/2019	CMTR17	5.735,314465	31,711471	-	5.767,025936	Padrão - SND	Reg.	
20/03/2019	CMTR17	5.735,314465	29,724357	-	5.765,038822	Padrão - SND	Reg.	
19/03/2019	CMTR17	5.735,314465	27,737988	-	5.763,052453	Padrão - SND	Reg.	
18/03/2019	CMTR17	5.735,314465	25,752250	-	5.761,066715	Padrão - SND	Reg.	
15/03/2019	CMTR17	5.735,314465	23,767200	-	5.759,081666	Padrão - SND	Reg.	
14/03/2019	CMTR17	5.735,314465	21,782839	-	5.757,097304	Padrão - SND	Reg.	
13/03/2019	CMTR17	5.735,314465	19,799166	-	5.755,113631	Padrão - SND	Reg.	
12/03/2019	CMTR17	5.735,314465	17,816181	-	5.753,130646	Padrão - SND	Reg.	
11/03/2019	CMTR17	5.735,314465	15,833884	-	5.751,148349	Padrão - SND	Reg.	
08/03/2019	CMTR17	5.735,314465	13,852276	-	5.749,166741	Padrão - SND	Reg.	
07/03/2019	CMTR17	5.735,314465	11,871298	-	5.747,185763	Padrão - SND	Reg.	
06/03/2019	CMTR17	5.735,314465	9,891066	-	5.745,205531	Padrão - SND	Reg.	
01/03/2019	CMTR17	5.735,314465	7,911465	-	5.743,225930	Padrão - SND	Reg.	
28/02/2019	CMTR17	5.735,314465	5,932609	-	5.741,247074	Padrão - SND	Reg.	
27/02/2019	CMTR17	5.735,314465	3,954385	-	5.739,268850	Padrão - SND	Reg.	
26/02/2019	CMTR17	5.735,314465	1,976848	-	5.737,291313	Padrão - SND	Reg.	
25/02/2019	CMTR17	5.735,314465	-  	-	5.735,314465	Padrão - SND	Reg.	
22/02/2019	CMTR17	5.903,997580	44,932196	-	5.948,929776	Padrão - SND	Reg.	
21/02/2019	CMTR17	5.903,997580	42,882388	-	5.946,879968	Padrão - SND	Reg.	
20/02/2019	CMTR17	5.903,997580	40,833346	-	5.944,830926	Padrão - SND	Reg.	
19/02/2019	CMTR17	5.903,997580	38,785013	-	5.942,782593	Padrão - SND	Reg.	
18/02/2019	CMTR17	5.903,997580	36,737330	-	5.940,734910	Padrão - SND	Reg.	
15/02/2019	CMTR17	5.903,997580	34,690414	-	5.938,687994	Padrão - SND	Reg.	
14/02/2019	CMTR17	5.903,997580	32,644147	-	5.936,641727	Padrão - SND	Reg.	
13/02/2019	CMTR17	5.903,997580	30,598589	-	5.934,596169	Padrão - SND	Reg.	
12/02/2019	CMTR17	5.903,997580	28,553799	-	5.932,551379	Padrão - SND	Reg.	
11/02/2019	CMTR17	5.903,997580	26,509658	-	5.930,507238	Padrão - SND	Reg.	
08/02/2019	CMTR17	5.903,997580	24,466225	-	5.928,463805	Padrão - SND	Reg.	
07/02/2019	CMTR17	5.903,997580	22,423501	-	5.926,421081	Padrão - SND	Reg.	
06/02/2019	CMTR17	5.903,997580	20,381485	-	5.924,379065	Padrão - SND	Reg.	
05/02/2019	CMTR17	5.903,997580	18,340178	-	5.922,337758	Padrão - SND	Reg.	
04/02/2019	CMTR17	5.903,997580	16,299579	-	5.920,297159	Padrão - SND	Reg.	
01/02/2019	CMTR17	5.903,997580	14,259689	-	5.918,257269	Padrão - SND	Reg.	
31/01/2019	CMTR17	5.903,997580	12,220448	-	5.916,218028	Padrão - SND	Reg.	
30/01/2019	CMTR17	5.903,997580	10,181975	-	5.914,179555	Padrão - SND	Reg.	
29/01/2019	CMTR17	5.903,997580	8,144151	-	5.912,141731	Padrão - SND	Reg.	
28/01/2019	CMTR17	5.903,997580	6,107095	-	5.910,104675	Padrão - SND	Reg.	
25/01/2019	CMTR17	5.903,997580	4,070688	-	5.908,068268	Padrão - SND	Reg.	
24/01/2019	CMTR17	5.903,997580	2,034990	-	5.906,032570	Padrão - SND	Reg.	
23/01/2019	CMTR17	5.903,997580	-  	-	5.903,997580	Padrão - SND	Reg.	
22/01/2019	CMTR17	6.072,684613	39,893166	-	6.112,577779	Padrão - SND	Reg.	
21/01/2019	CMTR17	6.072,684613	37,786976	-	6.110,471590	Padrão - SND	Reg.	
18/01/2019	CMTR17	6.072,684613	35,681577	-	6.108,366190	Padrão - SND	Reg.	
17/01/2019	CMTR17	6.072,684613	33,576845	-	6.106,261458	Padrão - SND	Reg.	
16/01/2019	CMTR17	6.072,684613	31,472842	-	6.104,157455	Padrão - SND	Reg.	
15/01/2019	CMTR17	6.072,684613	29,369628	-	6.102,054241	Padrão - SND	Reg.	
14/01/2019	CMTR17	6.072,684613	27,267083	-	6.099,951696	Padrão - SND	Reg.	
11/01/2019	CMTR17	6.072,684613	25,165266	-	6.097,849879	Padrão - SND	Reg.	
10/01/2019	CMTR17	6.072,684613	23,064178	-	6.095,748791	Padrão - SND	Reg.	
09/01/2019	CMTR17	6.072,684613	20,963818	-	6.093,648431	Padrão - SND	Reg.	
08/01/2019	CMTR17	6.072,684613	18,864187	-	6.091,548801	Padrão - SND	Reg.	
07/01/2019	CMTR17	6.072,684613	16,765285	-	6.089,449899	Padrão - SND	Reg.	
04/01/2019	CMTR17	6.072,684613	14,667112	-	6.087,351725	Padrão - SND	Reg.	
03/01/2019	CMTR17	6.072,684613	12,569607	-	6.085,254220	Padrão - SND	Reg.	
02/01/2019	CMTR17	6.072,684613	10,472891	-	6.083,157504	Padrão - SND	Reg.	
31/12/2018	CMTR17	6.072,684613	8,376843	-	6.081,061457	Padrão - SND	Reg.	
28/12/2018	CMTR17	6.072,684613	6,281585	-	6.078,966198	Padrão - SND	Reg.	
27/12/2018	CMTR17	6.072,684613	4,186995	-	6.076,871608	Padrão - SND	Reg.	
26/12/2018	CMTR17	6.072,684613	2,093133	-	6.074,777746	Padrão - SND	Reg.	
24/12/2018	CMTR17	6.072,684613	-  	-	6.072,684613	Padrão - SND	Reg.	
21/12/2018	CMTR17	6.241,370124	25,864300	-	6.267,234424	Padrão - SND	Reg.	
20/12/2018	CMTR17	6.241,370124	23,704849	-	6.265,074972	Padrão - SND	Reg.	
19/12/2018	CMTR17	6.241,370124	21,546146	-	6.262,916269	Padrão - SND	Reg.	
18/12/2018	CMTR17	6.241,370124	19,388192	-	6.260,758316	Padrão - SND	Reg.	
17/12/2018	CMTR17	6.241,370124	17,230987	-	6.258,601111	Padrão - SND	Reg.	
14/12/2018	CMTR17	6.241,370124	15,074532	-	6.256,444655	Padrão - SND	Reg.	
13/12/2018	CMTR17	6.241,370124	12,918762	-	6.254,288886	Padrão - SND	Reg.	
